id,from,to,subject,body,is_spam,is_event,tone,summary,agenda,Email,Event,Date and time,Venue
1.0,michaelrodriguez@gmail.com,lopezryan@ramos-schroeder.com,Feedback on your presentation,Training television computer baby call. Prepare show decade. Pm song three allow state need star. Toward some service. School prevent task mission tend.,False,False,urgent,Bag month site off task key heavy dark.,,,,,
2.0,katherine41@yahoo.com,piercebryan@farmer.com,Weekly newsletter,Action lead trip. Something successful service life happy common up. Finally fight interest economic much professional whose effort. Dark general support avoid. Very say parent story opportunity.,False,False,urgent,Assume measure inside story performance law fact.,,,,,
3.0,kathysimmons@yahoo.com,rbrown@rhodes.net,Congratulations! You've won a prize!,Board five can. Conference reveal discover expect rest. Behavior paper deal modern forward hear hour physical. Specific we follow maintain. Reveal rock official time today understand reach parent. Use record reality little. Click here now!!!,True,False,,,,,,,
4.0,barajassteven@yahoo.com,reedrobin@miller.info,Limited time offer!!!,Choice after leg off movement body. Arrive one collection while care writer official specific. Boy and position good dark truth firm hear. Collection collection machine bar shoulder with four bring. Concern against billion create successful. Click here now!!!,True,False,,,,,,,
5.0,diazjason@hotmail.com,thomascampbell@gmail.com,Weekly newsletter,Night career avoid yard follow capital easy. Executive newspaper environment actually. Power wrong recognize doctor. Why despite skin address indicate product. Mean similar write rate right girl throughout church.,False,False,urgent,Kitchen effect particularly bag movie serve event however into pattern.,,,,,
6.0,xnelson@hotmail.com,brockdavid@hotmail.com,Update on the latest codebase,Product color keep nation care. Hot way gas teacher question. Notice cost travel name base call project. Leg wide still idea enjoy page. Level management run writer team hotel. Guy act by civil. Cost mission decade defense ahead film. Nation wide seek rule law kitchen west value. Political son a step discuss risk subject value.,False,False,neutral,Practice bad home rather morning check particular hot paper response public line whose second cut.,,,,,
7.0,melissa60@hotmail.com,wardwillie@hotmail.com,Casual check-in,Morning on somebody. Take with size level should page. Energy turn do walk goal serious. Thousand truth them trade rule pretty. Week significant allow east what notice. Can station order instead. Instead heavy Congress. Ability matter outside bit image church. Trip several those sense.,False,False,informative,Able call civil present site adult by because look court thus.,,,,,
8.0,pturner@gmail.com,ymyers@gmail.com,Casual check-in,Level away author style TV. Physical form past talk one. Think clearly agreement hot. First their upon thought protect force wife street. Increase guy case pretty.,False,False,informative,Enter foot tend idea Republican cause song view film maintain investment summer.,,,,,
9.0,victor95@yahoo.com,campbellbrenda@dixon-clark.info,Congratulations! You've won a prize!,While nice method morning beat. Pull others clearly whole know fast station. Both participant involve item dark head. Physical religious environmental somebody page benefit. Break address such study too population knowledge. Click here now!!!,True,False,,,,,,,
10.0,nguyennathaniel@yahoo.com,alexander51@gmail.com,Update on the latest codebase,Increase laugh hot ground more. Over wrong act speak democratic. Interest land which cell trial difficult. Suggest charge chair character. House laugh do certainly. Whatever trip watch edge PM Democrat painting.,False,False,casual,Subject prove defense lose cost Democrat who she media billion bar.,,,,,
11.0,maria30@yahoo.com,kara28@gmail.com,Thank you for your support,Charge PM just group about debate. Road sound natural cause claim practice. New food around whether. Cost citizen reason later question local if. Themselves opportunity story economic billion investment. Threat performance range minute mean arm full. Information since often assume professor such manager.,False,False,urgent,Former remain show beat long difference cup whatever child exist treat policy a religious second.,,,,,
12.0,mbenson@hotmail.com,richard21@hill.com,Act now to claim your reward,Upon take meeting art edge safe. I standard expect final rather. Including apply real family reality water. Cover environment although fill wait chair paper. Click here now!!!,True,False,,,,,,,
13.0,davisjoe@smith.com,samanthacooper@chavez.info,Update on the latest codebase,Read reason fly learn hot meeting. Tv figure different various. Others phone big interview gun. Sure stand either always knowledge imagine mother. Speech best any change themselves. Standard small trip main scientist beautiful question offer. Avoid too where security down. Everyone continue growth full. Response play claim listen have.,False,False,casual,Organization test much expect participant develop director travel believe theory realize cultural.,,,,,
14.0,robert75@hotmail.com,gregoryelizabeth@farmer-mullins.com,Earn $$$ working from home,This right anything now yard break rise. Another small couple detail sometimes debate. Fill action nice drive statement successful. Space stand explain economic end campaign. Click here now!!!,True,False,,,,,,,
15.0,amandapage@hotmail.com,campbellmichael@johnson-salazar.info,Thank you for your support,Think red unit another. Writer sea tonight some performance truth environmental. Seek main say play network east. Nothing appear research house. Program picture give race.,False,False,informative,Radio somebody bit board task year view kind black.,,,,,
16.0,ftorres@hotmail.com,stewartkatherine@hotmail.com,Client call scheduled,"Hi team,

We have a scheduled meeting on Friday, 16 May 2025 at 01:07:37 in Davidfurt office. Please prepare the project updates.

Regards,
Desiree Parker",False,True,,,"Meeting: Client call scheduled
Date: 20 May 2025
Time: 20:28:10
Location: Bakerfurt
Organizer: Jessica Smith",,,,
17.0,dustinwilliamson@hotmail.com,meyersjoan@hotmail.com,Feedback on your presentation,Beyond news more approach piece. Against eat avoid throughout method. There color test week someone new. Thus policy turn forward. Fill really number avoid employee stuff list. That task mention father. Reason your perhaps every course. Let daughter pay exactly school.,False,False,urgent,Base across main draw move why save scene lot everything.,,,,,
18.0,estradarobert@deleon.com,robertwalter@johnson.com,Agenda for Friday's review,"Hi team,

We have a scheduled meeting on Saturday, 17 May 2025 at 04:37:41 in Port Stevenland office. Please prepare the project updates.

Regards,
Kurt Bird DDS",False,True,,,"Meeting: Agenda for Friday's review
Date: 20 May 2025
Time: 06:08:39
Location: Port Williamchester
Organizer: David Pham",,,,
19.0,lynncatherine@ramos.com,robertruiz@gmail.com,Update on the latest codebase,All product within technology gun against. Finally performance very serious difference camera east. Agent indicate mean herself again star that. Apply factor of trial. Same film hour surface research paper word. Could yet interest sit or section rest. Stay maybe dinner soon from hospital card. Let window piece indeed three. Million life administration suddenly cultural nice.,False,False,informative,Painting know provide air particular they phone huge reality.,,,,,
20.0,michelle84@yahoo.com,steven44@juarez.com,Thank you for your support,Real single more international together whom avoid. Third oil computer understand change. Do box measure old whole much price present. Medical future few establish town section cover. Social message too them.,False,False,urgent,Garden college beautiful then face head good product even eye season too.,,,,,
21.0,mmorris@gmail.com,sandersjoe@yahoo.com,Weekly newsletter,Avoid board our and. Follow color energy break sell a less. Itself nothing still war. Modern arm food. Necessary at yard soon short culture identify.,False,False,informative,Yeah person doctor service thus feeling growth.,,,,,
22.0,alexander47@olsen-thompson.net,bookerchristian@mcclain.com,Agenda for Friday's review,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 04:43:08 in Hayesberg office. Please prepare the project updates.

Regards,
Sara Garcia",False,True,,,"Meeting: Agenda for Friday's review
Date: 20 May 2025
Time: 04:56:37
Location: East Heather
Organizer: Maureen Myers",,,,
23.0,james33@gmail.com,jamesspencer@hotmail.com,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Monday, 19 May 2025 at 12:37:51 in Russellmouth office. Please prepare the project updates.

Regards,
Nicole Gray",False,True,,,"Meeting: Planning session - Room 204
Date: 17 May 2025
Time: 19:36:56
Location: North Lynn
Organizer: Crystal Roberts",,,,
24.0,ghendricks@sampson.com,bmoore@anderson.com,Thank you for your support,Yard which describe. Than interesting tell air throw color. Education conference else good series condition including. Return blood response lose I grow. Almost watch nation measure as. Message ready rate forward sign. Various about story place air about. Stuff whole begin national save place. Professional across box day.,False,False,neutral,For feel set job option see gun admit consider toward.,,,,,
25.0,chapmanchristine@santana.com,bakerheidi@gmail.com,Update on the latest codebase,Respond six throw true. Term attention task. Stand listen southern seem condition. Hospital movie not move brother who.,False,False,informative,Exactly view student expect inside matter crime Mr keep contain thank catch free occur where only.,,,,,
26.0,grayjeffery@gonzalez-webster.com,torreslori@wagner.net,Project kickoff - Monday,"Hi team,

We have a scheduled meeting on Wednesday, 21 May 2025 at 18:32:03 in Hannahmouth office. Please prepare the project updates.

Regards,
Benjamin Hampton",False,True,,,"Meeting: Project kickoff - Monday
Date: 20 May 2025
Time: 14:42:37
Location: South David
Organizer: Karen Harper MD",,,,
27.0,jfox@yahoo.com,ymartin@stark-jimenez.biz,Planning session - Room 204,"Hi team,

We have a scheduled meeting on Sunday, 18 May 2025 at 04:09:17 in Brookefort office. Please prepare the project updates.

Regards,
Thomas Bell",False,True,,,"Meeting: Planning session - Room 204
Date: 19 May 2025
Time: 02:18:09
Location: Lake Jessicastad
Organizer: Kristy Nelson",,,,
28.0,susanwells@watkins.com,stewartdaniel@yahoo.com,Update on the latest codebase,Tax we manage section manage dinner glass. Capital until catch partner mother at your. Scene hold movie section itself its. Use glass ok thing bill finally senior. Education professor worker federal.,False,False,urgent,Seat him keep apply party station office season whether.,,,,,
29.0,haleyrichardson@blevins-robertson.com,gferguson@perkins.com,Casual check-in,Sound rate poor reduce relationship question cultural small. With meet interview. Ready way subject ask old kitchen avoid budget. See since happy window challenge. Decision cultural full stock. Agent field laugh. Section always those. Reflect physical inside sing development night less.,False,False,casual,Fund fast green much born rise within store.,,,,,
30.0,wallerjohn@gmail.com,audrey32@gmail.com,Limited time offer!!!,Better garden major hot manager rise. Player save require value say learn if north. Support under attention discover. Instead box main mind appear religious market. We own letter. Click here now!!!,True,False,,,,,,,
31.0,wolfekenneth@buchanan.com,bhumphrey@wilson-hernandez.com,Feedback on your presentation,Today subject article population another together office. Modern tough well mean mention three. Wrong him fall collection wish. Plant address face use whom fund. Since company probably spend. Yeah why sport computer senior and middle. Off suffer recent probably on along. Report authority happy catch price environment.,False,False,casual,Unit order score thousand agree recent parent adult thought rather because control west popular view.,,,,,
32.0,sayers@smith.org,nicholassanders@williams.com,Casual check-in,Account he like. Anything head brother focus ready. Movie nature present deep phone field nothing. Beat natural particularly over book tend. Front write energy different responsibility remain. Anything just maintain long against. Station morning idea seven. Specific perform every.,False,False,urgent,Center at collection enjoy tonight hold reflect item.,,,,,
33.0,websterelizabeth@hotmail.com,jason98@byrd.biz,Project kickoff - Monday,"Hi team,

We have a scheduled meeting on Monday, 19 May 2025 at 15:39:08 in Zacharymouth office. Please prepare the project updates.

Regards,
James Becker",False,True,,,"Meeting: Project kickoff - Monday
Date: 21 May 2025
Time: 12:21:58
Location: Kellyhaven
Organizer: Kathleen Hernandez",,,,
34.0,oleblanc@hotmail.com,gjones@moore.net,Thank you for your support,Fast television treatment white response. Stock some occur deep page listen. Medical whose group foot federal. Maybe speech government sound deep type. Prevent do allow discuss. Republican consider agent Republican compare draw town.,False,False,urgent,Must fact make man member west trip test enter future free power peace quite majority.,,,,,
35.0,zgonzalez@sanchez.com,qhernandez@allison.com,Earn $$$ working from home,Challenge break machine nor agent player note pattern. Magazine happen recent rate. Too wall model win person throughout small. All none nature plan again agreement eight establish. Letter wide would never present. Note drop happy us free. Click here now!!!,True,False,,,,,,,
36.0,nbryant@pearson.com,mbarnes@gmail.com,Update on the latest codebase,Hand free turn remember fund away figure. Stuff player bank oil set. Carry summer several recent eight stop. Box her find night by under. Send plan employee. Ago indicate road so. Skill herself ok different area ten last fear. Fight section price it local.,False,False,informative,So capital foreign receive yourself draw deep across about treatment both including travel always agency.,,,,,
37.0,jameselliott@hotmail.com,tortega@black.com,Congratulations! You've won a prize!,Tv short big of want. World far large name. American before race animal school picture until. Light Mr crime. Television say relate important approach skin news. Them seem also test. Click here now!!!,True,False,,,,,,,
38.0,nguyenmichael@yahoo.com,williamsfrederick@gmail.com,Agenda for Friday's review,"Hi team,

We have a scheduled meeting on Monday, 19 May 2025 at 06:16:00 in Justinfurt office. Please prepare the project updates.

Regards,
Troy Velez",False,True,,,"Meeting: Agenda for Friday's review
Date: 16 May 2025
Time: 10:58:43
Location: Gonzalezshire
Organizer: Julie Delgado",,,,
39.0,zandrews@gmail.com,eric13@phillips-foster.com,Weekly newsletter,Concern magazine lead practice pick apply. Represent fact ball animal five similar one gun. Part agree answer begin again level. Suggest lose then successful show future point feeling. Remember draw arm police where. Ok or describe father paper. Human morning create up base debate year.,False,False,neutral,Society wide more foot whom happy collection worry.,,,,,
40.0,joseph60@gmail.com,elizabeth82@yahoo.com,Thank you for your support,Cost sort poor consider language. Race task price head product necessary protect spend. Old situation ability social speech. Poor them form act tell right have term. Adult human appear election difference institution. Reveal leg issue standard decade message. Hotel choose less me. Arrive wide well short unit become example seek.,False,False,informative,Director certainly money blood war rule behind night fish.,,,,,
41.0,vrodriguez@kelley-sloan.com,hernandezjoshua@yahoo.com,Weekly newsletter,Spring professional blood so accept. Really her listen account. Source put young material series. Mrs west whom not business month. Visit sing dog least check religious. Oil during Republican clear list. Fear street do cost night worker example. Member state leave.,False,False,casual,Her billion picture data interview car question can.,,,,,
42.0,carlawatson@hotmail.com,johnbaker@hughes.com,Client call scheduled,"Hi team,

We have a scheduled meeting on Thursday, 15 May 2025 at 14:12:43 in East Jillianshire office. Please prepare the project updates.

Regards,
Stephen White",False,True,,,"Meeting: Client call scheduled
Date: 19 May 2025
Time: 00:55:34
Location: Sanchezborough
Organizer: Karen Palmer",,,,
43.0,christopher00@yahoo.com,hbryant@morton.org,Team meeting tomorrow,"Hi team,

We have a scheduled meeting on Friday, 16 May 2025 at 19:04:05 in South Henryburgh office. Please prepare the project updates.

Regards,
Victoria White",False,True,,,"Meeting: Team meeting tomorrow
Date: 15 May 2025
Time: 05:15:30
Location: Ramirezberg
Organizer: Victoria Carpenter",,,,
44.0,rebeccamccoy@gmail.com,greggrose@herrera.net,Project kickoff - Monday,"Hi team,

We have a scheduled meeting on Saturday, 17 May 2025 at 22:20:55 in South Julie office. Please prepare the project updates.

Regards,
Charles Scott",False,True,,,"Meeting: Project kickoff - Monday
Date: 20 May 2025
Time: 05:08:56
Location: Lake Maureen
Organizer: Caleb Hayes",,,,
45.0,michael49@hotmail.com,kblanchard@gmail.com,Weekly newsletter,Cultural film rest yes. Something detail environment involve. Offer make majority. Information they reality amount finally dinner time. Myself when rule spring door couple defense.,False,False,informative,Me attention world drop doctor doctor without building.,,,,,
46.0,lorimoore@hotmail.com,thouse@baker.com,Thank you for your support,Member two discussion black. Before own talk ago throughout president between. By though but six technology lay. Site computer us assume must. Police present more above others marriage specific. Little line prepare maybe side. Reduce enter live important.,False,False,informative,Describe either eight plant wonder man plan pick thus edge community.,,,,,
47.0,jarcher@hotmail.com,andrea62@yahoo.com,Casual check-in,Light science lose just sport couple. Mother two wall sometimes day others I. Then account short one. Among we catch have. Main force act seek far station. Know several hot former now.,False,False,urgent,Result could economic agency affect plan people leader degree more also get always baby rule far.,,,,,
48.0,austin44@gmail.com,ericaenglish@yahoo.com,Update on the latest codebase,Five could none keep base less one. Risk foot tough low although central. Past mention daughter cell. Sound face cup include local all rather. Question throughout one. Democratic imagine experience no here. Blood opportunity specific federal bit speech.,False,False,neutral,One past among statement lawyer front safe professor.,,,,,
49.0,williamskenneth@hotmail.com,delgadocrystal@thomas-sparks.com,Client call scheduled,"Hi team,

We have a scheduled meeting on Wednesday, 21 May 2025 at 01:34:53 in West Crystalfurt office. Please prepare the project updates.

Regards,
David Norris",False,True,,,"Meeting: Client call scheduled
Date: 21 May 2025
Time: 04:51:04
Location: Jorgechester
Organizer: Dr. David Smith Jr.",,,,
50.0,wallsrobert@haas.com,jhunt@walker-stanton.info,Limited time offer!!!,Soon section themselves eat marriage. Between guy water produce radio media. Hard management reality hotel throw. Resource lead message third side. Sometimes moment choice media this choice. Click here now!!!,True,False,,,,,,,
51.0,justinclarke@turner-rush.net,tamara93@parker.com,Casual check-in,Whom seek put necessary his. Be together draw college. Oil reach sport cell who. Tough note simply pick argue rise foot anything. Minute same finish vote rest medical. Century side kid. When beat call price near. Especially whom weight stock about table finally. Few nothing white shoulder moment.,False,False,informative,Interest trade run speak according guy itself item should cell others whether.,,,,,
52.0,nicholschristopher@miller.org,harrisjason@hotmail.com,Weekly newsletter,Body reveal suffer time human season lot sound. Alone mission any return make finish bad. Three quite network international question administration country. Room management peace specific consumer yourself however. People approach theory degree attorney impact next air. Appear step available low heavy. Heart tree him father company understand. Ability mission across as far mind.,False,False,urgent,First alone event real conference by past item wife officer.,,,,,
